q,us_uso,us_glob,us_joint,ea_glob,ea_joint,jp_glob,jp_joint
1,-1.7949,-2.3436,-2.3879,-0.9506,-1.3240,-0.5672,-3.6078
2,-1.3261,-1.4381,-1.1231,-2.1526,-2.1604,-3.4796,-2.4103
3,-0.5142,-0.3693,-0.6570,-0.0185,-0.3936,0.3904,-4.6122
4,-0.4259,-0.8109,-0.8202,-0.9074,-0.7770,-0.5058,2.4819
5,0.4274,-0.4348,-0.4776,-1.0367,-1.5243,-0.4634,-2.4095
6,-0.1256,-0.7752,-1.1387,-0.8960,-1.2016,-0.2642,-1.0927
7,0.1671,-0.6493,-0.7005,-1.1903,-1.5428,-1.0942,-2.2805
8,0.2087,-0.3457,-0.4525,-0.8227,-1.2209,-0.6542,-1.0876
9,0.1054,-0.1303,-0.1429,-0.7313,-0.8515,-0.5787,-0.7201
10,0.2777,0.0640,0.1917,-0.5099,-0.5696,-0.1959,-0.0950
11,0.3426,0.2546,0.4272,-0.2626,-0.1600,0.1346,0.4153
12,0.3406,0.5138,0.7078,-0.0192,0.1623,0.4688,0.7900
13,0.3400,0.7724,0.9859,0.3295,0.5827,0.8241,1.1391
14,0.3027,0.9732,1.1495,0.6752,0.9438,1.0769,1.3747
15,0.2648,1.0442,1.1914,0.9801,1.2411,1.2262,1.4434
16,0.1951,1.0247,1.1295,1.2011,1.4403,1.2251,1.3955
17,0.1096,0.9666,1.0146,1.3302,1.5222,1.1542,1.2428
18,0.0475,0.8109,0.8345,1.3327,1.4857,1.0663,1.1528
19,0.0013,0.6105,0.6019,1.2190,1.3203,0.6776,0.7640
20,-0.0477,0.4278,0.3717,0.9414,0.9921,0.3254,0.3753
