q,gdp_scen_lvl,gdp_cf_lvl,gdp_scen_g,gdp_cf_g,pol_scen,pol_cf
1,-0.4487,0.1490,-1.7949,0.5962,-0.3337,-3.1624
2,-0.7802,0.1197,-1.3261,-0.1172,-0.4873,-2.2058
3,-0.9088,0.1058,-0.5142,-0.0557,-0.3833,-1.3643
4,-1.0153,0.0000,-0.4259,-0.4232,-0.4772,-0.9786
5,-0.9084,0.0423,0.4274,0.1692,-0.5287,-0.7254
6,-0.9398,-0.0872,-0.1256,-0.5181,-0.5515,-0.5610
7,-0.8980,-0.1570,0.1671,-0.2793,-0.5681,-0.4688
8,-0.8459,-0.2176,0.2087,-0.2422,-0.5497,-0.3932
9,-0.8195,-0.2978,0.1054,-0.3209,-0.5200,-0.3400
10,-0.7501,-0.3249,0.2777,-0.1084,-0.4660,-0.2836
11,-0.6645,-0.3240,0.3426,0.0036,-0.3953,-0.2233
12,-0.5793,-0.3115,0.3406,0.0502,-0.3304,-0.1760
13,-0.4943,-0.2874,0.3400,0.0964,-0.2788,-0.1455
14,-0.4186,-0.2619,0.3027,0.1019,-0.2348,-0.1234
15,-0.3525,-0.2363,0.2648,0.1023,-0.1946,-0.1046
16,-0.3037,-0.2199,0.1951,0.0658,-0.1582,-0.0880
17,-0.2763,-0.2177,0.1096,0.0085,-0.1224,-0.0700
18,-0.2644,-0.2252,0.0475,-0.0300,-0.0872,-0.0505
19,-0.2641,-0.2394,0.0013,-0.0567,-0.0567,-0.0333
20,-0.2760,-0.2619,-0.0477,-0.0901,-0.0351,-0.0229
