q,tb_base,tb_scen,ca_base,ca_scen,nfa_base,nfa_scen
1,-3.2126,-3.3574,-3.2126,-3.3574,-66.4072,-66.7610
2,-3.0208,-3.0957,-3.0208,-3.0957,-66.2131,-66.8494
3,-2.8863,-2.7288,-2.8863,-2.7288,-65.9588,-66.7607
4,-2.6274,-2.4732,-2.6274,-2.4732,-65.4612,-66.2773
5,-2.2744,-2.1245,-2.2744,-2.1245,-64.9984,-65.6735
6,-2.0052,-1.8445,-2.0052,-1.8445,-64.4206,-65.1048
7,-1.7446,-1.5769,-1.7446,-1.5769,-63.7599,-64.4213
8,-1.4414,-1.2664,-1.4414,-1.2664,-63.1141,-63.7411
9,-1.0991,-0.9175,-1.0991,-0.9175,-62.3886,-62.9942
10,-0.7789,-0.5887,-0.7789,-0.5887,-61.5774,-62.1186
11,-0.4795,-0.2807,-0.4795,-0.2807,-60.6677,-61.1319
12,-0.1805,0.0182,-0.1805,0.0182,-59.6506,-60.0287
13,0.1172,0.3149,0.1172,0.3149,-58.5601,-58.8462
14,0.4042,0.6039,0.4042,0.6039,-57.4222,-57.6167
15,0.6901,0.8956,0.6901,0.8956,-56.2480,-56.3493
16,0.9839,1.1962,0.9839,1.1962,-55.0337,-55.0487
17,1.2776,1.5007,1.2776,1.5007,-53.7721,-53.7119
18,1.5614,1.7989,1.5614,1.7989,-52.4611,-52.3328
19,1.8352,2.0877,1.8352,2.0877,-51.0985,-50.9071
20,2.1013,2.3666,2.1013,2.3666,-49.6832,-49.4348
