q,baa_n,baa_t,lr_n,lr_t,pol_n,pol_t,fcm_n,fcm_t,gdp_n,gdp_t,infl_n,infl_t
1,1.0000,1.0000,0.6913,0.0000,-0.0422,-0.3337,0.4141,-0.3339,-0.3681,-1.7949,0.3896,-0.1662
2,0.8795,0.8238,0.5899,-0.1022,0.2150,-0.4873,0.4044,-0.4177,-0.7405,-1.3261,-0.1626,-0.3246
3,0.7338,0.5811,0.4043,-0.0586,0.3848,-0.3833,0.2760,-0.4019,0.1116,-0.5142,-0.6540,-0.8028
4,0.5058,0.4499,0.3904,0.0103,0.4257,-0.4772,0.2694,-0.4321,0.3154,-0.4259,-0.1941,0.0123
5,0.3007,0.3104,0.3511,0.0636,0.3907,-0.5287,0.2363,-0.3878,0.4347,0.4274,-0.1758,0.1378
6,0.2439,0.2762,0.2681,0.0468,0.2603,-0.5515,0.1322,-0.4088,0.1520,-0.1256,-0.2328,-0.2545
7,0.2286,0.1599,0.1602,-0.0180,0.0958,-0.5681,0.0289,-0.4307,-0.1899,0.1671,-0.4653,-0.3630
8,0.1975,0.0657,0.0644,-0.0563,-0.0372,-0.5497,-0.0761,-0.4187,-0.5979,0.2087,-0.6774,-0.3352
9,0.1360,0.0100,0.0036,-0.0714,-0.1410,-0.5200,-0.1641,-0.4021,-0.4367,0.1054,-0.6413,-0.3254
10,0.0610,-0.0477,-0.0383,-0.0821,-0.2175,-0.4660,-0.2308,-0.3630,-0.1386,0.2777,-0.5010,-0.2311
11,-0.0041,-0.0905,-0.0723,-0.0956,-0.2787,-0.3953,-0.2932,-0.3273,0.0620,0.3426,-0.3257,-0.2214
12,-0.0605,-0.1367,-0.0978,-0.1136,-0.3349,-0.3304,-0.3436,-0.2992,0.2115,0.3406,-0.1058,-0.1485
13,-0.1039,-0.1781,-0.1228,-0.1253,-0.3881,-0.2788,-0.3767,-0.2689,0.2322,0.3400,0.0617,-0.0923
14,-0.1268,-0.2076,-0.1426,-0.1302,-0.4288,-0.2348,-0.3859,-0.2330,0.1721,0.3027,0.1779,-0.0451
15,-0.1206,-0.2182,-0.1443,-0.1278,-0.4459,-0.1946,-0.3646,-0.1923,0.1037,0.2648,0.2563,0.0120
16,-0.0945,-0.2090,-0.1328,-0.1221,-0.4328,-0.1582,-0.3190,-0.1524,0.0264,0.1951,0.2852,0.0360
17,-0.0656,-0.1918,-0.1184,-0.1171,-0.3882,-0.1224,-0.2607,-0.1149,-0.0103,0.1096,0.2687,0.0355
18,-0.0424,-0.1714,-0.1032,-0.1129,-0.3190,-0.0872,-0.1989,-0.0821,0.0036,0.0475,0.2236,0.0278
19,-0.0278,-0.1497,-0.0874,-0.1094,-0.2391,-0.0567,-0.1402,-0.0561,0.0301,0.0013,0.1739,0.0155
20,-0.0191,-0.1268,-0.0722,-0.1070,-0.1616,-0.0351,-0.0893,-0.0386,0.0474,-0.0477,0.1296,-0.0009
